"","year","month","day","country","activity","disease"
"1",2002,12,29,"Argentina",NA,"dengue"
"2",2002,12,29,"Bolivia",0.101,"dengue"
"3",2002,12,29,"Brazil",0.073,"dengue"
"4",2002,12,29,"India",0.062,"dengue"
"5",2002,12,29,"Indonesia",0.101,"dengue"
"6",2002,12,29,"Mexico",NA,"dengue"
"7",2002,12,29,"Philippines",NA,"dengue"
"8",2002,12,29,"Singapore",0.059,"dengue"
"9",2002,12,29,"Thailand",NA,"dengue"
"10",2002,12,29,"Venezuela",NA,"dengue"
"11",2003,1,5,"Argentina",NA,"dengue"
"12",2003,1,5,"Bolivia",0.143,"dengue"
"13",2003,1,5,"Brazil",0.098,"dengue"
"14",2003,1,5,"India",0.047,"dengue"
"15",2003,1,5,"Indonesia",0.039,"dengue"
"16",2003,1,5,"Mexico",NA,"dengue"
"17",2003,1,5,"Philippines",NA,"dengue"
"18",2003,1,5,"Singapore",0.059,"dengue"
"19",2003,1,5,"Thailand",NA,"dengue"
"20",2003,1,5,"Venezuela",NA,"dengue"
"21",2003,1,12,"Argentina",NA,"dengue"
"22",2003,1,12,"Bolivia",0.176,"dengue"
"23",2003,1,12,"Brazil",0.119,"dengue"
"24",2003,1,12,"India",0.051,"dengue"
"25",2003,1,12,"Indonesia",0.059,"dengue"
"26",2003,1,12,"Mexico",0.071,"dengue"
"27",2003,1,12,"Philippines",NA,"dengue"
"28",2003,1,12,"Singapore",0.238,"dengue"
"29",2003,1,12,"Thailand",NA,"dengue"
"30",2003,1,12,"Venezuela",NA,"dengue"
"31",2003,1,19,"Argentina",NA,"dengue"
"32",2003,1,19,"Bolivia",0.173,"dengue"
"33",2003,1,19,"Brazil",0.17,"dengue"
"34",2003,1,19,"India",0.032,"dengue"
"35",2003,1,19,"Indonesia",0.039,"dengue"
"36",2003,1,19,"Mexico",0.052,"dengue"
"37",2003,1,19,"Philippines",NA,"dengue"
"38",2003,1,19,"Singapore",0.175,"dengue"
"39",2003,1,19,"Thailand",NA,"dengue"
"40",2003,1,19,"Venezuela",NA,"dengue"
"41",2003,1,26,"Argentina",NA,"dengue"
"42",2003,1,26,"Bolivia",0.146,"dengue"
"43",2003,1,26,"Brazil",0.138,"dengue"
"44",2003,1,26,"India",0.04,"dengue"
"45",2003,1,26,"Indonesia",0.112,"dengue"
