FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
278342	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278342	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278342	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278342	26		Gd157Di		157Gd_TIGIT
278342	39		Er170Di		170Er_KIR2DL5
278342	49		Pt194Di		194Pt_cisplatin
278342	50		Pt195Di		195Pt_cisplatin
278342	54		Offset		Offset
278343	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278343	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278343	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278343	41		Yb172Di		172Yb_NTB-A
278343	49		Pt194Di		194Pt_cisplatin
278343	50		Pt195Di		195Pt_cisplatin
278343	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278343	53		Center		Center
278343	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278344	2		Event_length		Event_length
278344	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278344	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278344	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278344	27		Gd158Di		158Gd_2B4
278344	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278344	32		Dy163Di		163Dy_NKG2C
278344	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278344	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278344	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278345	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278345	26		Gd157Di		157Gd_TIGIT
278345	28		Tb159Di		159Tb_DNAM-1
278345	53		Center		Center
278346	30		Dy161Di		161Dy_NKp30
278346	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278346	41		Yb172Di		172Yb_NTB-A
278346	47		Ir191Di		191Ir_DNA-1
278346	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278346	26		Gd157Di		157Gd_TIGIT
278347	9		Ce140Di		140Ce_BEADS
278347	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278347	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278347	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278347	26		Gd157Di		157Gd_TIGIT
278347	27		Gd158Di		158Gd_2B4
278347	32		Dy163Di		163Dy_NKG2C
278347	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278347	51		Pt198Di		198Pt_cisplatin
278347	53		Center		Center
278347	54		Offset		Offset
278348	17		Nd148Di		148Nd_FcRg
278348	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278348	24		Gd155Di		155Gd_NKp46
278348	27		Gd158Di		158Gd_2B4
278348	39		Er170Di		170Er_KIR2DL5
278348	51		Pt198Di		198Pt_cisplatin
278349	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278349	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278349	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278349	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278349	24		Gd155Di		155Gd_NKp46
278349	27		Gd158Di		158Gd_2B4
278349	28		Tb159Di		159Tb_DNAM-1
278349	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278349	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278349	56		Residual		Residual
278350	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278350	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278350	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278350	27		Gd158Di		158Gd_2B4
278350	32		Dy163Di		163Dy_NKG2C
278350	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278350	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278350	48		Ir193Di		193Ir_DNA-2
278350	55		Width		Width
278351	2		Event_length		Event_length
278351	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278351	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278351	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278351	47		Ir191Di		191Ir_DNA-1
278351	51		Pt198Di		198Pt_cisplatin
278351	54		Offset		Offset
278352	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278352	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278352	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278352	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278352	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278352	26		Gd157Di		157Gd_TIGIT
278352	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278352	31		Dy162Di		162Dy_Siglec-7
278352	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278352	39		Er170Di		170Er_KIR2DL5
278352	51		Pt198Di		198Pt_cisplatin
278352	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278352	53		Center		Center
278353	2		Event_length		Event_length
278353	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278353	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278353	24		Gd155Di		155Gd_NKp46
278353	28		Tb159Di		159Tb_DNAM-1
278354	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278354	32		Dy163Di		163Dy_NKG2C
278354	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278354	46		BCKG190Di		190BCKG_BCKG
278355	32		Dy163Di		163Dy_NKG2C
278355	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278355	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278355	39		Er170Di		170Er_KIR2DL5
278355	46		BCKG190Di		190BCKG_BCKG
278355	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278355	2		Event_length		Event_length
278355	17		Nd148Di		148Nd_FcRg
278356	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278356	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278356	26		Gd157Di		157Gd_TIGIT
278356	31		Dy162Di		162Dy_Siglec-7
278356	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278356	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278357	1		Time		Time
278357	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278357	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278357	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278357	24		Gd155Di		155Gd_NKp46
278357	28		Tb159Di		159Tb_DNAM-1
278357	32		Dy163Di		163Dy_NKG2C
278357	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278357	41		Yb172Di		172Yb_NTB-A
278357	53		Center		Center
278358	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278358	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278358	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278358	1		Time		Time
278358	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278358	17		Nd148Di		148Nd_FcRg
278358	27		Gd158Di		158Gd_2B4
278358	50		Pt195Di		195Pt_cisplatin
278358	57		beadDist		beadDist
278359	1		Time		Time
278359	17		Nd148Di		148Nd_FcRg
278359	19		Nd150Di		150Nd_Syk
278359	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278359	30		Dy161Di		161Dy_NKp30
278359	49		Pt194Di		194Pt_cisplatin
278359	50		Pt195Di		195Pt_cisplatin
278360	2		Event_length		Event_length
278360	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278360	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278360	19		Nd150Di		150Nd_Syk
278360	24		Gd155Di		155Gd_NKp46
278360	26		Gd157Di		157Gd_TIGIT
278360	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278360	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278360	46		BCKG190Di		190BCKG_BCKG
278361	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278361	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278361	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278361	30		Dy161Di		161Dy_NKp30
278361	31		Dy162Di		162Dy_Siglec-7
278361	46		BCKG190Di		190BCKG_BCKG
278361	48		Ir193Di		193Ir_DNA-2
278361	50		Pt195Di		195Pt_cisplatin
278361	56		Residual		Residual
278361	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278361	28		Tb159Di		159Tb_DNAM-1
278362	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278362	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278362	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278362	26		Gd157Di		157Gd_TIGIT
278362	32		Dy163Di		163Dy_NKG2C
278362	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278362	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278362	48		Ir193Di		193Ir_DNA-2
278362	50		Pt195Di		195Pt_cisplatin
278362	55		Width		Width
278363	1		Time		Time
278363	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278363	9		Ce140Di		140Ce_BEADS
278363	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278363	17		Nd148Di		148Nd_FcRg
278363	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278363	39		Er170Di		170Er_KIR2DL5
278364	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278364	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278364	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278364	55		Width		Width
278364	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278364	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278364	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278364	9		Ce140Di		140Ce_BEADS
278364	27		Gd158Di		158Gd_2B4
278365	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278365	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278365	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278365	28		Tb159Di		159Tb_DNAM-1
278365	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278365	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278365	48		Ir193Di		193Ir_DNA-2
278365	51		Pt198Di		198Pt_cisplatin
278366	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278366	26		Gd157Di		157Gd_TIGIT
278366	28		Tb159Di		159Tb_DNAM-1
278366	48		Ir193Di		193Ir_DNA-2
278366	51		Pt198Di		198Pt_cisplatin
278367	8		In115Di	hCD3E, 115In	115In_CD3
278367	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278367	19		Nd150Di		150Nd_Syk
278367	30		Dy161Di		161Dy_NKp30
278368	17		Nd148Di		148Nd_FcRg
278368	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278368	28		Tb159Di		159Tb_DNAM-1
278368	30		Dy161Di		161Dy_NKp30
278369	5		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278369	8		Center		Center
278369	13		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278369	20		Gd155Di		155Gd_NKp46
278369	24		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278369	53		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278369	56		Time		Time
278370	2		Event_length		Event_length
278370	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278370	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278370	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278370	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278370	55		Width		Width
278371	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278371	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278371	28		Tb159Di		159Tb_DNAM-1
278371	30		Dy161Di		161Dy_NKp30
278371	31		Dy162Di		162Dy_Siglec-7
278371	48		Ir193Di		193Ir_DNA-2
