"","year","month","day","country","activity","disease"
"1",2002,12,29,"Argentina",NA,"flu"
"2",2002,12,29,"Australia",NA,"flu"
"3",2002,12,29,"Austria",NA,"flu"
"4",2002,12,29,"Belgium",NA,"flu"
"5",2002,12,29,"Bolivia",NA,"flu"
"6",2002,12,29,"Brazil",174,"flu"
"7",2002,12,29,"Bulgaria",NA,"flu"
"8",2002,12,29,"Canada",NA,"flu"
"9",2002,12,29,"Chile",NA,"flu"
"10",2002,12,29,"France",NA,"flu"
"11",2002,12,29,"Germany",NA,"flu"
"12",2002,12,29,"Hungary",NA,"flu"
"13",2002,12,29,"Japan",NA,"flu"
"14",2002,12,29,"Mexico",NA,"flu"
"15",2002,12,29,"Netherlands",NA,"flu"
"16",2002,12,29,"New.Zealand",NA,"flu"
"17",2002,12,29,"Norway",NA,"flu"
"18",2002,12,29,"Paraguay",NA,"flu"
"19",2002,12,29,"Peru",329,"flu"
"20",2002,12,29,"Poland",NA,"flu"
"21",2002,12,29,"Romania",NA,"flu"
"22",2002,12,29,"Russia",NA,"flu"
"23",2002,12,29,"South.Africa",NA,"flu"
"24",2002,12,29,"Spain",NA,"flu"
"25",2002,12,29,"Sweden",NA,"flu"
"26",2002,12,29,"Switzerland",NA,"flu"
"27",2002,12,29,"Ukraine",NA,"flu"
"28",2002,12,29,"United.States",NA,"flu"
"29",2002,12,29,"Uruguay",NA,"flu"
"30",2003,1,5,"Argentina",NA,"flu"
"31",2003,1,5,"Australia",NA,"flu"
"32",2003,1,5,"Austria",NA,"flu"
"33",2003,1,5,"Belgium",NA,"flu"
"34",2003,1,5,"Bolivia",NA,"flu"
"35",2003,1,5,"Brazil",162,"flu"
"36",2003,1,5,"Bulgaria",NA,"flu"
"37",2003,1,5,"Canada",NA,"flu"
"38",2003,1,5,"Chile",NA,"flu"
"39",2003,1,5,"France",NA,"flu"
"40",2003,1,5,"Germany",NA,"flu"
"41",2003,1,5,"Hungary",NA,"flu"
"42",2003,1,5,"Japan",NA,"flu"
"43",2003,1,5,"Mexico",NA,"flu"
"44",2003,1,5,"Netherlands",NA,"flu"
"45",2003,1,5,"New.Zealand",NA,"flu"
"46",2003,1,5,"Norway",NA,"flu"
"47",2003,1,5,"Paraguay",NA,"flu"
"48",2003,1,5,"Peru",315,"flu"
